State (2009),Number of Households (1000s),Number of Households (PCT),Unbanked
AK,251,100,4.1
AL,1916,100,11.9
AR,1140,100,10.2
AZ,2634,100,7.6
CA,13194,100,7.6
CO,2006,100,6.9
CT,1383,100,5.3
DC,302,100,12.2
DE,342,100,5.5
FL,7607,100,6.9
GA,3763,100,11.9
HI,443,100,2.8
IA,1231,100,4.7
ID,569,100,6.6
IL,4915,100,6.1
IN,2445,100,7.3
KS,1149,100,6.4
KY,1756,100,12
LA,1764,100,8.5
MA,2655,100,4
MD,2169,100,5.5
ME,551,100,2.6
MI,3971,100,6.6
MN,2135,100,2.6
MO,2487,100,8.2
MS,1126,100,16.2
MT,423,100,3.9
NC,3747,100,8.1
ND,277,100,4.6
NE,710,100,5.1
NH,527,100,2.2
NJ,3143,100,7.3
NM,779,100,11.8
NV,991,100,6.6
NY,7778,100,9.9
OH,4621,100,6.9
OK,1453,100,10
OR,1560,100,5.9
PA,4972,100,5.2
RI,424,100,6.3
SC,1791,100,10.3
SD,332,100,4.7
TN,2530,100,9.7
TX,8912,100,11.7
UT,904,100,1.7
VA,3008,100,4.8
VT,257,100,4.2
WA,2651,100,3.8
WI,2329,100,4.2
WV,757,100,6.1
WY,224,100,3.5
